"Organisation Name","Budget Code","Product Category","Product Name","Quantity","Unit Price","Total Gross","Amount Net","Payment Reference","Transaction Status","Settlement Date","Batch Id","Payment Method","Transaction Type"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-478411","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-494207","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-494719","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-494736","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-494859","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,7.71,7.560,"WRFC7-D-494859","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-495156","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-495624","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-496436","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-496582","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-498453","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-498996","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-499851","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-499853","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,7.78,7.628,"WRFC7-D-500533","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-500533","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,7.71,7.560,"WRFC7-D-500533","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-500599","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-500620","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-500794","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-500865","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-504275","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,7.78,7.628,"WRFC7-D-504510","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-504510","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-504818","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-505231","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-505328","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-505374","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-506278","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-506456","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-506710","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-506820","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-507620","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-509419","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-509488","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-510416","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-513053","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-513150","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-513896","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-521308","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-522842","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-523131","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-524846","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-526212","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-526377","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-527525","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-527610","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-527611","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-527906","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-528416","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-529340","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-529650","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,7.78,7.628,"WRFC7-D-529720","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-529720","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-529726","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-531730","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Junior Subscription - Annual",1,95.00,12.00,11.766,"WRFC7-D-542895","Settled",12/16/2022,29169,"Direct Debit","Payment"
"Wells RFC","Membership","Membership","Mini Subscription - Annual",1,84.00,10.50,10.295,"WRFC7-D-544542","Settled",12/16/2022,29169,"Direct Debit","Payment"
